object_name	size(bytes)	size(Gb)	md5
1000_genome_ref_files.3-7-16.tar.gz	4272848425	3.97940019611	8a04d8165b62854c433c90e60db6c482
HG00103.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3020542338	2.81309926696	b6998c4c5409d64c9e332fd3fe9497c6-29
HG00115.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1987145382	1.8506733533	baaa3fc40eda0da83f7d023e12d92d43-19
HG00117.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	5428862369	5.05602207873	df27da2c2bb1cbd2ae92991b47ab1281-52
HG00120.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	6543140512	6.09377446771	9ba6d7b772e699b52ee8bc5542ffc729-63
HG00125.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3099465226	2.88660193421	66c27b1fa41f11fc5f9b93b5564948b2-30
HG00128.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2987088897	2.78194332216	d625163c3ecbb6b12de766b3a57fbac5-29
HG00131.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	6809902259	6.34221570473	7eef4ebf2de4cb0cd8830237a02d64fd-65
HG00135.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1842596781	1.71605197806	b0e13a2cae50617252608816d9ff96a6-18
HG00143.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2712309420	2.52603499219	b4e37a03518c37b10306462413ac026a-26
HG00146.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3691463379	3.43794317823	cddd31e0e47a98198984183807f98880-36
HG00151.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1880715077	1.75155240763	906acf9bf5800a2e3174cb234f9a5ce2-18
HG00152.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1894064465	1.76398499403	ce543870acc5bfe3c3559e792c655453-19
HG00154.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3783066315	3.52325506043	e76cd6a93261a936e69fbc3411d78001-37
HG00155.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	4049261040	3.77116821706	c510d42a1906a53e8de41c5372059689-39
HG00159.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	5775450036	5.37880699709	da388bb524a846916e06c32ef13741dc-56
HG00173.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	2270551568	2.11461593211	75d922baab5b292482a21faa6414b80d-22
HG00187.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3581191238	3.33524424396	8acff9617337ee70271585ffd1f7f1ed-35
HG00188.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3413805274	3.17935391702	5333b1e4d8b8bac370e0766d51bdcd97-33
HG00190.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3340900430	3.11145599	9c70cf8c908db02501aacdef7ced3a15-32
HG00233.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3455361193	3.21805588249	5691a4ba490c1ca5373b84c143978334-33
HG00234.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	1689000130	1.5730039496	0121733ba29f8ba7219c790e76f62ba8-17
HG00240.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3311517347	3.08409086149	2d2335fea1394157210ee4cf950cb468-32
HG00242.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	7019443269	6.53736597765	da39b1d5e4d62084f6f260fd0ad862f9-67
HG00246.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3337778946	3.10854888149	1443ef8ff89270a7efd5c1e30a0f64ab-32
HG00251.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3330598309	3.10186139215	5ce72172542e8d21a58b061955d6821f-32
HG00253.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2805640477	2.61295631249	2c9d01c55801e090c30671dc0bb787eb-27
HG00256.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	3166883873	2.94939044211	80819dd916f3f0d72d5bded0a2a96494-31
HG00257.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	4251486996	3.95950581506	a00cf7a13747cb30b8c7cf9bb8a071f5-41
HG00258.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	5744519635	5.3500008164	3874e4dcfb72528055cab4a1818b95da-55
HG00264.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	6824356503	6.35567726847	59871a683f73f5b2ec566709c8d27372-66
HG00265.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	5195216903	4.83842278179	3e8392bd906763aa675588671c9e4b5b-50
HG00269.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	2817568298	2.62406496145	c6c5cfa68077f5260306c086fa881f02-27
HG00271.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3943668730	3.67282771505	8d5f9b53c972db719f19b63a38cf3a7f-38
HG00276.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3973949323	3.70102871489	65ee8973e8ee6be3811dd9872aaeac66-38
HG00290.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	5111360623	4.7603255352	371ad7d475f6987748946a63af023b9a-49
HG00303.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	1532292068	1.42705819383	1fb041b67b58a635eae72ded9f19616d-15
HG00311.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	1834476024	1.70848893374	e6f35a07d1024dff40df15360095f32a-18
HG00313.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	2919785655	2.71926229354	999283a11042fd8ea6694a7b361ec978-28
HG00327.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3032789450	2.82450527884	56a2c04b749292f809f6dc7a84b24e7e-29
HG00334.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3485422806	3.24605294131	d88a329e2aa969567e0c7918b61aa3d0-34
HG00337.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	2976425026	2.77201181836	ee841d4c1097d0362cff11559ca06721-29
HG00341.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3359158969	3.12846057955	44cd41065113b9a04c408a90c17a6194-33
HG00343.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	2887225747	2.68893851619	407368512f4ade33812e8eae5d2cf8a9-28
HG00345.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3402610088	3.16892758757	235c65c4d65f3cdbe77810c82e495335-33
HG00346.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	3313587505	3.08601884637	d737bb1164db452feb6bf66577e48348-32
HG00350.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	2098806044	1.95466544852	53d5708fbfd459f1a9253fc15545296c-21
HG00357.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	2437595586	2.27018779702	769384851de7b44c9c18e4a9ef0395b8-24
HG00372.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	2250309308	2.09576385841	3f6d6ea57108a8134b570107b1d94cb4-22
HG00379.alt_bwamem_GRCh38DH.20150826.FIN.exome.cram	1692694377	1.57644448522	795c7cd05f643f12c9c3ea25e52f4b8a-17
HG00418.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3108441683	2.89496191125	b13e5203339b4e074ef093d526a1c740-30
HG00442.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3192768934	2.97349778377	36faa08f2ff088d32f4f4d3b202d55e7-31
HG00449.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	4233482695	3.9427380031	67632feb2fe7ba9f5295fc23aabc9e1b-41
HG00452.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	4576135428	4.26185822859	43799e4cd91c61df4d0418cd9a8e9e5f-44
HG00472.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3051187382	2.84163968824	a08d299514e917287a41c0b449171887-30
HG00478.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3631631606	3.38222049735	eb8373681f3c80f69ba1721f57c7a39d-35
HG00479.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3696604430	3.44273115508	9ec333ed0fca0ab96a5cc9217774e38b-36
HG00500.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3337775929	3.10854607169	8e6e62f85e492a410b5d251fc27fbade-32
HG00525.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3536259219	3.29339804035	cec322ec6ba3c67ced43e22deea0c1ed-34
HG00534.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	4086850708	3.80617632344	4237564816582bc048126e098e18eb87
HG00536.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3858844597	3.59382908512	168f0da5c551e56a14b11a647d290e9b
HG00537.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	4208232423	3.91922185477	a794e9f7595cb96258246fb1b98943c1
HG00542.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3280405759	3.05511593726	b7af34874263f11a507dcbe189390832
HG00557.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	5039137997	4.69306297321	5099d812f685f3ac282f4a94d8dbfadc-49
HG00565.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	1952807193	1.81869342271	41cb9516608b537ad4e467370f5f8383-19
HG00566.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	1724086121	1.60568032507	aea94f4b2837ab01aeaabf9be0911e49-17
HG00580.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3117125407	2.90304925945	414afa6e022bd677f4454eb394f58cec-30
HG00583.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	2961760473	2.75835438911	98d31c8c9c34dd9b86bcdcface4edc58-29
HG00589.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	2814307738	2.62102832831	9482066019665e7e111fff3e869f0242-27
HG00592.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	2035070891	1.89530746173	c6087f173412e48758b5bee499c5a0ec-20
HG00593.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	2204504772	2.05310506001	3fd67e5af901535e2174eb946180dddf-22
HG00595.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	2153668849	2.00576041732	0166d238571ed44ecb9e5965f9858cb4-21
HG00596.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	2131665286	1.98526800238	59f47befbbe4702f086aeffe2403c11e-21
HG00598.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3072324583	2.86132524069	f5dd271048c3eb185ce4086d8e8edcc7-30
HG00622.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	2453344561	2.28485517297	54dbcace5573a05e4eac7ec84602a2bd-24
HG00629.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	2578389916	2.40131273493	d9f654a8ba36bc1f8481ccea22853064-25
HG00653.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3674663849	3.4222973967	b933c969062397426722432feaf77513-36
HG00663.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3056179223	2.84628870245	d1b8ac69d0d4a8c61853ba7e97f09068-30
HG00701.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	3418466128	3.18369467556	b55bc85a6273fcfb2b03b6934c1273e4-33
HG00729.alt_bwamem_GRCh38DH.20150826.CHS.exome.cram	2572333456	2.39567221701	071ac445a2a441ccd4b2719286219b6a-25
HG00734.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	7628142180	7.10426101461	a48d4910e3353df0c02c529cabe4790b-73
HG00736.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	4227113588	3.93680630997	d1fdae8bd8384181d869d5a2a39fa4d5-41
HG00759.alt_bwamem_GRCh38DH.20150826.CDX.exome.cram	8657914942	8.06331163459	7b8814caabbfad743c0be7f202141c67-83
HG00867.alt_bwamem_GRCh38DH.20150826.CDX.exome.cram	8748423242	8.14760405757	b2dc9d50d02760a31c79f3d2b74646ae-84
HG00879.alt_bwamem_GRCh38DH.20150826.CDX.exome.cram	2882735256	2.68475642055	f5f819afda2a9a83b528972126e66bbc-28
HG00956.alt_bwamem_GRCh38DH.20150826.CDX.exome.cram	2251952106	2.09729383327	8b9dc526026ffe09c3464a1f008da421-22
HG00982.alt_bwamem_GRCh38DH.20150826.CDX.exome.cram	3151751200	2.93529704213	769aec0b9322921f59a6c1e54ffc15bd-31
HG01028.alt_bwamem_GRCh38DH.20150826.CDX.exome.cram	4129395277	3.84579904098	cfeb7e9346afbd8b9ef5f9bd1dacdeaa-40
HG01031.alt_bwamem_GRCh38DH.20150826.CDX.exome.cram	2844881321	2.64950219635	3ca8b86103955a67d10d95276007adfc-28
HG01061.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	3430766683	3.19515046012	3d45e5eeb6e507a418e61a71e2dff84a-33
HG01063.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	2043231089	1.90290723834	4a6dbb1db02e0352d2399077471962ef-20
HG01064.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	2033866778	1.89418604411	b64038334ab5d7020a1f7623f037934f-20
HG01066.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	9502279153	8.84968708549	e0cdcf835b75c0780d56ddcc9e067c6a-91
HG01067.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	4500335033	4.19126360957	4e8ed099e0e16403eb69ae41f68a592b-43
HG01070.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	3087691998	2.8756372612	c04301eeb3bbf06f23069b05da4511e8-30
HG01086.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	3356596279	3.1260738885	c419003ad953ca6c431c5aeacce17dc9-33
HG01088.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	2188623046	2.03831405006	4bf8481b87f04a7d677900f752dc038e-21
HG01098.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	3366245701	3.13506061304	68259e11e2613830b88c68d181f1edf1-33
HG01105.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	3252387575	3.02902197	807ff18ebf3aeb808d39fba11e37a1e0-32
HG01107.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	3688120986	3.43483033217	9f0b378ada79226883f06673a27ee42f-36
HG01108.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	3951844709	3.68044218887	a15076f61b7cf29b4a3ccd2ff4b9bc14-38
HG01111.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	9346567329	8.70466914866	45374852d400674591e90fb9cd092bbe-90
HG01124.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	2135045081	1.98841568176	c44d3c5caab1fbbb8314c78d1f5bd9b2-21
HG01133.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	2087902757	1.9445109712	c4d45f0eb4252eafd4f3c58856cb1cbf-20
HG01149.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	2139007997	1.99210643489	379b9aea85d677777fad55328de1bdec-21
HG01162.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	1442577347	1.34350484889	324a4c13974fa58e6edafff5c8be048e-14
HG01167.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	4340530923	4.04243443441	3bbf3c443ea71e3791a347caf1958700-42
HG01176.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	6549141828	6.09936362877	f7752166e1a7a731eb0631d7a4675e58-63
HG01182.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	3732178574	3.47586215846	4fdb7613122a795c5143790706b63159-36
HG01204.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	4170598641	3.88417266402	4eea5b90c87cdceb2f822be1bf5de8b1-40
HG01241.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	5967421877	5.5575947063	a4981d62b0697d62ef8958828dc95282-57
HG01248.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	6758068629	6.29394187499	12f86f486a2169b92e26e0de92536e21-65
HG01250.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	3468637635	3.23042053264	aeaa61499e8255ec33d8017269c60646-34
HG01253.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	3398067993	3.16469743196	1f27d4b86982e73bb0d90ceb7db30bbd-33
HG01256.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	1692374692	1.57614675537	4e3f71a26d7e24db54011c0ea148aa5f-17
HG01260.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	3481268171	3.24218363594	75942c92bf2f22cec106deb34f0f8a0d-34
HG01271.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	2162253078	2.01375510357	bc1ed83401461b6f9c9771372a8fe588-21
HG01274.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	1988573055	1.85200297739	297c5ce3a04edb312a1d18c93582f830-19
HG01275.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	2359893722	2.19782229699	5e2e63828641e8e1cdeff434eaa18380-23
HG01281.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	4426646809	4.12263610307	e35235d69c90e435e93f7bb353a6fb2f-43
HG01286.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	1666414809	1.5519697303	734b438c877ea08441bc2ab6b0209d9a-16
HG01323.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	1926050518	1.79377432726	3415e782291e3e56bd3cd62fa404891c
HG01325.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	1887780327	1.75813243445	f1e4cdfd1531bb3fd46c04a6976ef1af-19
HG01334.alt_bwamem_GRCh38DH.20150826.GBR.exome.cram	2941666719	2.7396406224	6bc6311f625221551b6a97bcf160cc4d
HG01347.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	2107990955	1.96321956348	2ecb9cee7d8414bcaa129db940ba0b27-21
HG01360.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	3423373465	3.18826498929	3210f743183e45b2bd17a98f65a68809-33
HG01365.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	2531908361	2.35802341346	be41aae0cef29a1e57970c18b7340ae5-25
HG01393.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	3357073497	3.1265183324	df7e22eb6099313fecf973206b0dfac9-33
HG01395.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	3926977526	3.65728281997	5930633c3116d94b0594b979ccadb8fb-38
HG01396.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	4220267310	3.93043021671	7d7b0655c94a70c4028ea0736147a605-41
HG01402.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	4277459660	3.98369474337	fda74a071ac71c2d73cc3d5de5f27b08-41
HG01414.alt_bwamem_GRCh38DH.20150826.PUR.exome.cram	3304687888	3.07773043215	d6b2172809c94d61e0a06820a3d1d3c1-32
HG01431.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	4483528319	4.17561113741	60e0a795a601a92b60cd5a393af5fad4-43
HG01432.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	4338507988	4.04055042937	8f3ad63eaf3635d4812af9ffd51c1e01-42
HG01437.alt_bwamem_GRCh38DH.20150826.CLM.exome.cram	5045389700	4.69888532534	570242d81ee49617a5d7dd3c4607cf4b-49
